IdTipoTransaccion,IdOrdenCompra,IdMetodoPago,cantidad
7,"",4,-360.53
7,"",4,-60165.71
7,"",4,-4719.66
7,"",4,-88448.71
7,"",4,-66613.77
7,"",4,-55710.61
7,"",4,-7592.30
7,"",4,-1904.42
7,"",4,-29854.00
7,"",4,-10996.88
7,"",4,-2732.40
7,"",4,-40654.80
7,"",4,-838.37
7,"",4,-195.50
7,"",4,-2891.10
7,"",4,-68896.50
7,"",4,-10137.25
7,"",4,-122412.90
7,"",4,-1564.00
7,"",4,-156747.30
7,"",4,-193772.70
7,"",4,-5278.50
7,"",4,-219392.40
7,"",4,-18768.00
7,"",4,-214410.60
7,"",4,-23264.50
7,"",4,-257901.30
7,"",4,-27565.50
7,"",4,-301295.40
7,"",4,-32345.82
7,"",4,-374097.30
7,"",4,-35368.02
7,"",4,-409701.30
7,"",4,-45383.60
7,"",4,-433499.40
7,"",4,-63232.98
7,"",4,-490900.50
7,"",4,-67987.54
7,"",4,-560286.90
7,"",4,-69154.56
7,"",4,-636048.90
7,"",4,-77600.62
7,"",4,-661585.80
7,"",4,-68578.64
7,"",4,-744523.80
7,"",4,-70742.02
7,"",4,-793362.00
7,"",4,-81665.18
7,"",4,-837121.80
7,"",4,-91758.50
7,"",4,-908405.70
7,"",4,-93258.10
7,"",4,-995131.80
7,"",4,-103076.34
7,"",4,-1046812.80
7,"",4,-90161.84
7,"",4,-1061344.20
7,"",4,-75726.12
7,"",4,-1122526.50
7,"",4,-71930.20
7,"",4,-1181832.00
7,"",4,-82681.32
7,"",4,-1204526.10
7,"",4,-105932.94
7,"",4,-1255275.60
7,"",4,-129040.12
7,"",4,-1319797.50
7,"",4,-145993.42
7,"",4,-1391040.00
7,"",4,-153624.36
7,"",4,-1445129.10
7,"",4,-165707.18
7,"",4,-1493436.00
7,"",4,-178611.10
7,"",4,-1536250.50
7,"",4,-205048.68
7,"",4,-1562291.10
7,"",4,-228112.16
7,"",4,-1603829.10
7,"",4,-244338.66
7,"",4,-1689009.60
7,"",4,-257463.38
7,"",4,-1762860.30
7,"",4,-264161.44
7,"",4,-1834151.10
7,"",4,-287142.58
7,"",4,-1858908.30
7,"",4,-311487.16
7,"",4,-1908195.00
7,"",4,-342881.70
7,"",4,-1970874.60
7,"",4,-349207.62
7,"",4,-2005692.00
7,"",4,-365826.50
7,"",4,-2069599.80
7,"",4,-397348.00
7,"",4,-2101201.80
7,"",4,-421356.32
7,"",4,-2148018.30
7,"",4,-440459.66
7,"",4,-2226726.60
7,"",4,-485508.38
7,"",4,-2257348.80
7,"",4,-511163.96
7,"",4,-2312265.90
7,"",4,-545333.22
7,"",4,-2344012.80
7,"",4,-558547.18
7,"",4,-2380575.90
7,"",4,-567491.42
7,"",4,-2414047.80
7,"",4,-594175.10
7,"",4,-2439522.60
7,"",4,-599743.86
7,"",4,-2461906.20
7,"",4,-618619.04
7,"",4,-2495198.70
7,"",4,-644570.86
7,"",4,-2552848.20
7,"",4,-700851.86
7,"",4,-2588210.70
7,"",4,-745534.88
7,"",4,-2642279.10
7,"",4,-756946.10
7,"",4,-2703399.30
7,"",4,-765037.96
7,"",4,-2755294.20
7,"",4,-784557.14
7,"",4,-2784702.00
7,"",4,-822258.28
7,"",4,-2833181.40
7,"",4,-830520.34
7,"",4,-2856482.70
7,"",4,-837621.36
7,"",4,-2888478.00
7,"",4,-889410.46
7,"",4,-2922639.90
7,"",4,-931154.08
7,"",4,-2970243.00
7,"",4,-945558.52
7,"",4,-3018011.70
7,"",4,-958077.42
7,"",4,-3049689.60
7,"",4,-987367.46
7,"",4,-3107739.30
7,"",4,-1010584.12
